4,28,16,84
6,30,0,96
4,22,21,74
7,46,12,75
1,12,8,92
13,69,5,93
2,12,18,64
12,62,2,98
4,22,5,89
3,15,23,77
2,13,8,92
13,58,4,89
4,22,0,95
1,11,9,82
4,23,20,70
8,42,3,94
3,25,22,78
2,9,12,88
3,16,0,71
6,35,10,90
1,4,100,0
5,35,3,77
3,11,11,89
3,15,8,92
2,10,11,89
4,21,6,89
4,21,6,89
3,17,7,80
2,11,10,80
2,15,7,93
10,49,2,95
1,6,17,83
3,15,31,54
2,13,0,100
13,62,4,94
4,17,7,86
2,10,11,89
1,4,0,100
2,11,20,70
11,68,0,100
3,14,92,0
4,23,5,85
2,16,13,80
6,30,12,84
1,7,14,86
3,14,8,92
2,13,8,83
1,7,0,100
5,19,7,93
3,17,20,80
3,30,11,71
4,22,5,89
1,4,25,75
3,16,93,0
2,16,7,93
1,9,11,89
1,8,12,75
4,21,6,89
1,9,11,89
4,22,5,89
5,28,4,92
3,15,8,92
6,45,2,92
2,16,13,87
4,28,4,92
4,18,7,93
6,34,3,97
3,13,9,91
10,71,3,95
1,6,100,0
1,8,12,88
4,18,7,87
3,15,0,100
5,21,18,82
2,14,8,92
4,20,12,82
3,17,7,87
3,19,6,94
1,10,10,90
1,6,17,83
9,39,6,90
8,41,12,76
7,51,96,0
1,7,14,86
10,78,1,94
6,36,10,87
1,12,8,92
3,12,10,90
5,34,7,93
3,14,25,50
1,7,14,86
11,63,6,85
2,13,8,92
4,27,8,83
2,10,11,89
3,21,16,74
2,16,7,87
2,10,22,67
6,33,21,79
2,7,100,0
4,35,3,97
2,15,14,86
6,34,3,93
1,13,69,0
2,17,12,88
2,18,0,100
1,4,25,75
3,15,8,85
3,19,6,94
2,14,62,0
3,17,7,93
1,6,100,0
9,52,14,79
1,8,0,100
6,42,11,59
2,14,8,92
16,94,17,79
13,59,4,91
3,13,9,91
2,13,17,83
1,8,12,88
2,9,12,88
7,36,13,87
2,17,12,88
5,21,6,94
1,7,14,71
9,51,33,67
4,25,18,77
2,9,12,88
3,16,7,93
3,21,47,32
7,39,3,97
4,22,5,95
11,46,6,92
1,3,0,100
1,10,0,100
7,29,4,96
4,31,11,89
3,10,12,88
4,20,12,82
2,13,8,92
1,9,11,89
2,12,9,91
3,14,92,0
8,41,3,97
1,9,11,67
8,33,4,88
2,14,8,62
11,52,10,90
7,50,9,89
8,47,18,82
9,53,13,87
10,52,9,81
2,14,8,92
1,7,14,71
1,6,17,83
11,68,2,95
7,51,4,91
5,20,56,38
3,17,7,93
2,12,18,82
3,15,23,69
12,68,2,95
4,27,4,96
8,42,3,97
2,8,14,71
4,19,6,94
1,4,25,50
1,13,8,92
1,13,8,92
6,24,5,95
7,35,3,90
2,11,10,90
9,53,2,93
2,19,0,100
3,18,6,94
6,29,25,67
11,52,2,95
3,14,25,75
4,27,4,92
11,54,2,98
6,35,10,86
2,10,22,78
2,13,8,92
1,6,17,83
5,24,10,80
7,37,3,94
2,17,12,88
6,31,12,88
14,60,6,85
7,40,65,26
8,41,3,97
3,33,3,84
3,34,84,0
6,38,3,91
7,42,3,97
4,17,7,86
1,6,17,83
2,13,8,92
5,24,15,85
17,77,2,97
4,21,6,89
3,13,27,73
1,16,6,75
5,34,30,63
12,69,22,72
6,30,4,88
11,67,7,88
4,19,19,69
6,25,5,95
1,13,15,77
12,73,3,94
2,10,22,78
13,85,3,93
3,14,8,92
7,32,4,88
4,20,6,94
5,28,4,92
2,12,9,91
2,10,11,78
6,23,11,78
6,24,5,95
14,92,9,85
3,27,96,0
2,17,6,88
5,20,12,75
5,21,6,94
4,21,6,94
3,27,96,0
11,49,8,85
4,27,4,88
5,20,19,81
2,9,12,75
3,18,12,88
14,79,9,89
3,30,11,79
6,30,4,92
9,50,2,90
3,15,8,92
4,24,14,86
9,47,3,90
5,31,19,78
2,21,10,90
3,12,10,90
12,73,18,79
12,72,7,93
3,20,11,89
9,50,17,76
8,53,2,96
4,18,47,47
1,3,100,0
2,21,10,90
15,91,4,92
2,10,22,78
2,15,14,86
2,10,22,78
2,13,17,83
2,5,25,50
8,74,1,94
4,30,15,81
10,48,10,87
2,9,25,62
2,10,11,89
3,17,20,80
2,14,15,85
1,9,11,89
7,49,33,51
2,20,5,95
2,18,12,88
7,36,3,93
2,14,8,92
14,72,5,92
7,45,3,97
3,24,5,91
5,29,16,84
3,9,14,86
1,8,12,88
3,21,5,95
1,12,8,83
2,12,9,91
12,70,5,92
2,13,8,92
9,36,4,93
2,11,10,80
4,25,5,91
4,30,15,78
7,38,3,91
6,32,19,81
2,13,8,92
4,16,31,62
3,25,4,83
7,39,18,79
17,95,1,96
6,36,3,97
2,12,9,91
9,49,5,95
6,37,12,88
4,21,17,83
1,12,8,92
6,37,16,84
1,9,11,89
5,30,12,65
5,47,2,95
4,26,4,96
2,16,7,93
3,35,3,94
2,14,15,85
6,37,3,97
5,23,11,89
5,33,14,86
3,21,5,47
4,32,17,79
3,14,25,75
6,28,22,74
3,20,17,83
3,14,8,92
4,19,6,88
2,10,11,78
8,41,24,76
10,59,2,94
2,10,22,78
8,31,8,83
3,16,14,86
2,12,0,100
9,42,3,97
2,12,9,91
3,15,15,85
10,59,0,98
7,25,5,95
4,21,22,78
6,31,4,96
3,21,0,100
2,23,9,86
3,21,5,95
2,16,7,80
1,13,8,92
4,32,14,72
3,11,11,56
4,22,5,95
3,15,8,62
1,13,8,92
1,11,9,91
5,23,5,89
7,30,8,88
6,27,5,68
5,28,21,79
1,11,0,100
4,25,9,86
17,99,2,95
8,45,3,95
3,24,5,95
7,39,3,97
3,11,33,67
5,22,22,72
10,57,6,94
6,32,11,89
1,10,10,80
4,23,10,90
6,45,2,95
6,43,5,89
7,30,17,71
3,18,6,88
1,11,9,82
1,11,9,91
5,22,6,83
7,41,3,94
7,43,5,86
2,13,8,92
4,29,4,88
2,17,12,69
3,19,12,82
7,43,97,0
2,13,17,58
6,30,4,96
1,4,25,50
4,24,100,0
1,10,10,80
7,35,14,76
4,17,14,86
8,37,10,90
6,37,12,88
5,21,18,82
9,80,1,97
1,9,11,89
1,7,14,86
4,25,45,55
4,30,4,93
3,15,23,77
1,10,10,80
1,8,12,88
2,10,22,78
1,7,14,86
3,19,6,88
3,18,6,94
6,31,15,85
2,8,14,71
9,51,2,95
10,60,2,98
2,21,5,90
2,11,20,70
9,45,3,95
3,21,5,95
2,14,8,92
14,74,5,92
2,19,11,89
14,74,3,93
6,28,22,78
11,54,5,91
16,78,8,92
4,30,4,89
7,34,21,75
8,46,3,95
4,34,3,81
1,7,14,86
10,63,6,93
6,26,5,95
6,37,6,84
1,9,11,89
4,17,21,79
5,28,4,92
1,12,8,92
8,52,11,84
3,20,6,94
10,62,4,92
15,76,3,97
2,12,9,91
7,32,19,77
1,8,12,75
5,23,5,95
3,21,11,84
2,9,12,88
1,8,12,88
4,16,23,77
2,15,14,86
2,17,12,88
2,14,8,85
2,14,15,77
8,49,5,93
5,21,6,82
1,9,11,89
8,52,4,89
1,9,0,100
4,24,14,86
4,19,25,75
15,80,3,89
4,20,6,94
8,53,15,78
1,10,10,60
5,30,4,92
9,49,17,76
4,18,7,87
12,74,3,90
6,37,6,88
5,31,11,89
5,28,0,100
2,14,8,92
5,22,6,94
4,24,19,76
4,25,0,100
7,51,2,98
3,20,11,89
4,24,14,86
3,24,9,91
1,10,10,90
2,13,17,67
2,16,13,80
3,18,12,75
4,24,5,90
15,78,19,78
4,27,4,88
11,61,2,94
6,29,17,83
5,23,5,89
2,16,7,93
4,18,13,73
3,14,0,100
6,35,3,97
9,38,3,97
2,16,7,93
1,9,11,89
2,11,10,90
4,21,6,89
3,17,20,80
2,16,13,87
13,65,9,85
3,20,17,78
3,16,21,79
4,20,6,82
7,40,15,82
7,32,4,96
4,37,9,85
5,39,3,89
4,19,6,81
3,24,14,82
4,18,7,87
2,10,11,89
2,16,7,93
8,39,6,91
5,33,14,86
5,24,10,80
10,52,5,93
4,30,4,93
12,54,2,93
2,24,9,91
4,49,9,83
3,19,18,76
5,18,14,79
3,27,12,88
3,25,9,91
3,16,21,79
4,22,5,95
15,86,3,94
4,26,4,78
9,46,3,95
2,14,8,92
7,35,7,93
1,8,12,88
5,38,3,91
6,39,9,88
7,30,4,96
6,27,5,86
6,34,3,97
11,51,24,76
2,9,12,75
3,24,5,82
2,15,7,86
3,26,12,88
3,19,6,82
4,30,15,85
4,31,4,96
3,21,5,95
12,78,7,90
6,32,4,89
12,66,5,89
6,29,17,83
4,23,5,90
3,13,9,91
1,8,12,88
3,27,4,96
2,11,10,80
2,11,20,80
2,11,10,80
2,9,12,75
4,23,20,75
3,13,27,73
7,36,17,83
2,15,14,86
3,20,11,78
9,41,6,94
6,25,5,95
4,38,11,83
2,15,14,79
1,11,9,91
3,25,96,0
4,19,6,81
1,9,11,89
5,24,5,95
9,50,5,93
2,15,14,79
1,10,10,80
4,16,8,85
4,31,11,89
4,26,13,87
4,27,4,92
5,36,3,94
7,39,15,85
9,35,4,93
7,41,6,94
11,48,3,87
7,36,3,97
4,25,18,77
3,21,21,74
7,34,4,93
3,15,23,77
8,34,4,89
9,49,2,98
12,58,4,89
3,11,11,78
7,38,3,94
2,17,12,81
2,11,20,70
3,24,5,95
4,32,3,90
4,23,20,80
8,55,0,98
2,14,15,85
9,51,5,93
8,46,15,85
7,45,21,79
14,66,2,94
12,58,6,91
3,13,27,73
2,17,6,88
5,27,9,91
1,9,11,89
132,677,2,94
6,25,25,75
4,32,3,86
3,17,13,80
15,88,3,92
1,11,9,91
4,33,10,90
3,20,6,89
3,8,50,50
7,29,4,96
2,16,13,87
2,19,11,83
1,9,11,89
3,16,100,0
2,8,14,71
4,23,10,85
1,7,14,86
3,25,13,78
4,16,38,54
2,20,5,95
3,18,19,81
1,9,11,89
11,64,15,83
2,9,12,88
12,60,2,96
4,23,5,90
3,26,0,100
2,15,14,79
4,36,9,88
12,72,2,95
9,48,2,92
5,29,4,88
2,14,15,85
2,10,100,0
7,33,11,85
3,15,23,77
4,47,2,88
2,18,6,88
5,27,22,78
5,32,4,93
48,263,4,94
1,7,14,86
3,11,22,78
2,11,20,70
1,11,9,91
8,44,3,97
5,31,4,93
4,24,81,0
1,6,17,83
3,15,23,77
10,54,93,0
3,18,6,94
2,9,25,75
3,19,6,71
2,9,12,88
2,10,22,67
8,54,4,85
1,11,9,91
7,38,9,88
8,45,16,58
2,11,20,80
5,34,13,87
2,11,10,90
2,11,20,70
12,69,5,95
5,31,4,93
2,10,11,89
3,18,12,88
1,8,12,88
4,40,3,95
1,8,12,88
3,23,5,95
1,10,10,80
5,33,3,97
10,53,16,82
1,15,7,80
4,29,4,96
3,26,4,92
7,28,9,73
5,35,13,87
5,37,3,94
2,15,14,86
1,4,25,75
20,110,4,91
5,29,8,92
7,39,15,85
4,34,10,81
7,29,4,91
3,16,7,93
6,42,3,97
3,17,7,87
1,8,12,88
12,65,7,89
7,41,15,85
2,14,15,85
3,11,11,78
3,15,8,85
1,10,10,80
1,7,14,86
8,47,8,85
3,24,5,95
4,21,6,72
5,27,4,91
3,12,10,80
2,14,8,85
7,38,6,88
1,9,11,89
33,196,2,95
6,30,8,84
3,27,4,88
4,20,6,94
5,36,9,91
6,32,4,96
4,35,3,91
5,20,6,94
12,65,6,94
1,6,17,67
3,21,5,95
5,32,7,93
3,26,12,83
4,17,7,93
3,29,4,96
3,25,9,91
1,9,11,89
2,14,8,92
12,63,19,75
1,8,12,88
5,33,7,83
11,58,12,88
2,8,29,71
2,10,22,78
5,34,3,93
3,15,8,92
3,14,8,92
2,15,14,79
3,15,15,69
4,27,12,88
9,56,4,96
1,8,12,88
10,48,5,87
1,4,25,75
1,8,12,88
4,23,15,70
3,17,20,80
6,34,3,93
3,26,4,96
5,28,4,96
4,29,8,88
9,39,6,90
7,43,3,95
4,19,25,75
1,9,11,89
1,4,25,75
2,19,6,94
2,11,20,70
5,29,4,96
3,26,4,96
2,16,13,87
2,16,13,87
3,30,4,96
12,67,2,95
4,22,5,89
2,14,8,92
1,5,20,80
6,35,3,93
2,19,6,94
3,26,4,96
5,30,4,85
1,9,11,89
10,55,26,65
1,3,33,67
6,32,4,96
1,10,10,80
2,7,33,67
24,130,3,95
8,46,3,92
10,47,21,76
2,16,13,80
7,42,6,92
2,14,8,85
6,42,5,95
3,14,17,83
4,16,23,77
1,7,14,86
1,8,12,88
11,61,2,96
2,12,0,100
3,15,8,92
4,24,5,90
2,12,9,82
3,18,6,94
6,40,3,94
4,21,6,83
2,18,12,88
2,13,8,92
9,52,14,84
9,43,18,68
2,11,10,90
3,26,4,96
12,61,2,98
7,38,6,88
1,8,12,88
1,8,12,88
2,10,11,89
16,88,3,97
8,50,5,88
3,17,7,93
3,28,4,88
8,44,8,92
9,58,4,96
10,52,5,93
14,78,3,95
3,20,17,78
